"ML-Ready Dataset — For Use with Linear Regression, GBT, and SVR",,,,,,,,,,
"AY Start
(Feature)","AY End
(Feature)","Sector
(Label)","Sector
Encoded","Region
(Label)","Region
Encoded","SHS
Available","Total
Elementary","Total
High School","Total
Senior HS","Total
Students (TARGET)"
2010,2011,Public,0,Region I - Ilocos Region,4,0,"703,219","304,807",0,"1,008,026"
2010,2011,Public,0,Region II - Cagayan Valley,5,0,"450,855","195,048",0,"645,903"
2010,2011,Public,0,Region III - Central Luzon,6,0,"1,429,093","583,896",0,"2,012,989"
2010,2011,Public,0,Region IV-A - CALABARZON,7,0,"1,660,065","698,026",0,"2,358,091"
2010,2011,Public,0,Region IV-B - MIMAROPA,8,0,"508,155","186,293",0,"694,448"
2010,2011,Public,0,Region V - Bicol Region,10,0,"1,074,029","381,209",0,"1,455,238"
2010,2011,Public,0,Region VI - Western Visayas,11,0,"1,091,834","470,900",0,"1,562,734"
2010,2011,Public,0,Region VII - Central Visayas,12,0,"1,098,109","412,049",0,"1,510,158"
2010,2011,Public,0,Region VIII - Eastern Visayas,13,0,"777,899","288,339",0,"1,066,238"
2010,2011,Public,0,Region IX - Zamboanga Peninsula,9,0,"627,117","210,189",0,"837,306"
2010,2011,Public,0,Region X - Northern Mindanao,14,0,"699,666","229,500",0,"929,166"
2010,2011,Public,0,Region XI - Davao Region,15,0,"698,488","245,000",0,"943,488"
2010,2011,Public,0,Region XII - Soccsksargen,16,0,"671,948","231,294",0,"903,242"
2010,2011,Public,0,CARAGA - CARAGA,2,0,"443,507","157,126",0,"600,633"
2010,2011,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,"766,468","177,415",0,"943,883"
2010,2011,Public,0,CAR - Cordillera Administrative Region,1,0,"236,816","86,817",0,"323,633"
2010,2011,Public,0,NCR - National Capital Region,3,0,"1,301,504","672,462",0,"1,973,966"
2011,2012,Public,0,Region I - Ilocos Region,4,0,"717,753","300,037",0,"1,017,790"
2011,2012,Public,0,Region II - Cagayan Valley,5,0,"486,329","194,409",0,"680,738"
2011,2012,Public,0,Region III - Central Luzon,6,0,"1,461,183","591,251",0,"2,052,434"
2011,2012,Public,0,Region IV-A - CALABARZON,7,0,"1,742,772","715,219",0,"2,457,991"
2011,2012,Public,0,Region IV-B - MIMAROPA,8,0,"537,109","188,972",0,"726,081"
2011,2012,Public,0,Region V - Bicol Region,10,0,"1,119,296","389,582",0,"1,508,878"
2011,2012,Public,0,Region VI - Western Visayas,11,0,"1,159,357","470,352",0,"1,629,709"
2011,2012,Public,0,Region VII - Central Visayas,12,0,"1,150,513","415,315",0,"1,565,828"
2011,2012,Public,0,Region VIII - Eastern Visayas,13,0,"805,453","292,441",0,"1,097,894"
2011,2012,Public,0,Region IX - Zamboanga Peninsula,9,0,"659,331","213,082",0,"872,413"
2011,2012,Public,0,Region X - Northern Mindanao,14,0,"760,533","230,578",0,"991,111"
2011,2012,Public,0,Region XI - Davao Region,15,0,"745,378","247,004",0,"992,382"
2011,2012,Public,0,Region XII - Soccsksargen,16,0,"718,458","234,371",0,"952,829"
2011,2012,Public,0,CARAGA - CARAGA,2,0,"455,911","158,265",0,"614,176"
2011,2012,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,"770,996","174,482",0,"945,478"
2011,2012,Public,0,CAR - Cordillera Administrative Region,1,0,"247,740","86,468",0,"334,208"
2011,2012,Public,0,NCR - National Capital Region,3,0,"1,360,030","674,237",0,"2,034,267"
2012,2013,Public,0,Region I - Ilocos Region,4,0,"725,305","304,047",0,"1,029,352"
2012,2013,Public,0,Region II - Cagayan Valley,5,0,"501,138","193,387",0,"694,525"
2012,2013,Public,0,Region III - Central Luzon,6,0,"1,486,751","602,304",0,"2,089,055"
2012,2013,Public,0,Region IV-A - CALABARZON,7,0,"1,801,832","737,463",0,"2,539,295"
2012,2013,Public,0,Region IV-B - MIMAROPA,8,0,"541,055","194,223",0,"735,278"
2012,2013,Public,0,Region V - Bicol Region,10,0,"1,120,452","397,002",0,"1,517,454"
2012,2013,Public,0,Region VI - Western Visayas,11,0,"1,182,696","468,552",0,"1,651,248"
2012,2013,Public,0,Region VII - Central Visayas,12,0,"1,167,896","427,667",0,"1,595,563"
2012,2013,Public,0,Region VIII - Eastern Visayas,13,0,"804,074","300,212",0,"1,104,286"
2012,2013,Public,0,Region IX - Zamboanga Peninsula,9,0,"661,330","210,414",0,"871,744"
2012,2013,Public,0,Region X - Northern Mindanao,14,0,"758,256","231,228",0,"989,484"
2012,2013,Public,0,Region XI - Davao Region,15,0,"766,839","250,690",0,"1,017,529"
2012,2013,Public,0,Region XII - Soccsksargen,16,0,"723,918","236,769",0,"960,687"
2012,2013,Public,0,CARAGA - CARAGA,2,0,"456,582","159,750",0,"616,332"
2012,2013,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,"716,128","160,101",0,"876,229"
2012,2013,Public,0,CAR - Cordillera Administrative Region,1,0,"246,875","87,433",0,"334,308"
2012,2013,Public,0,NCR - National Capital Region,3,0,"1,371,867","680,656",0,"2,052,523"
2013,2014,Public,0,Region I - Ilocos Region,4,0,"728,910","311,396",0,"1,040,306"
2013,2014,Public,0,Region II - Cagayan Valley,5,0,"508,954","195,536",0,"704,490"
2013,2014,Public,0,Region III - Central Luzon,6,0,"1,526,637","626,950",0,"2,153,587"
2013,2014,Public,0,Region IV-A - CALABARZON,7,0,"1,818,590","744,253",0,"2,562,843"
2013,2014,Public,0,Region IV-B - MIMAROPA,8,0,"538,840","200,070",0,"738,910"
2013,2014,Public,0,Region V - Bicol Region,10,0,"1,120,982","412,727",0,"1,533,709"
2013,2014,Public,0,Region VI - Western Visayas,11,0,"1,195,683","476,896",0,"1,672,579"
2013,2014,Public,0,Region VII - Central Visayas,12,0,"1,180,443","441,264",0,"1,621,707"
2013,2014,Public,0,Region VIII - Eastern Visayas,13,0,"793,876","312,449",0,"1,106,325"
2013,2014,Public,0,Region IX - Zamboanga Peninsula,9,0,"639,850","209,606",0,"849,456"
2013,2014,Public,0,Region X - Northern Mindanao,14,0,"757,236","237,238",0,"994,474"
2013,2014,Public,0,Region XI - Davao Region,15,0,"782,077","256,465",0,"1,038,542"
2013,2014,Public,0,Region XII - Soccsksargen,16,0,"724,223","239,896",0,"964,119"
2013,2014,Public,0,CARAGA - CARAGA,2,0,"460,945","165,143",0,"626,088"
2013,2014,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,"695,979","162,266",0,"858,245"
2013,2014,Public,0,CAR - Cordillera Administrative Region,1,0,"248,074","90,310",0,"338,384"
2013,2014,Public,0,NCR - National Capital Region,3,0,"1,390,356","690,113",0,"2,080,469"
2014,2015,Public,0,Region I - Ilocos Region,4,0,"724,301","315,405",0,"1,039,706"
2014,2015,Public,0,Region II - Cagayan Valley,5,0,"508,447","197,210",0,"705,657"
2014,2015,Public,0,Region III - Central Luzon,6,0,"1,527,807","638,321",0,"2,166,128"
2014,2015,Public,0,Region IV-A - CALABARZON,7,0,"1,859,473","777,554",0,"2,637,027"
2014,2015,Public,0,Region IV-B - MIMAROPA,8,0,"537,239","206,565",0,"743,804"
2014,2015,Public,0,Region V - Bicol Region,10,0,"1,098,314","428,206",0,"1,526,520"
2014,2015,Public,0,Region VI - Western Visayas,11,0,"1,194,262","488,379",0,"1,682,641"
2014,2015,Public,0,Region VII - Central Visayas,12,0,"1,177,715","456,528",0,"1,634,243"
2014,2015,Public,0,Region VIII - Eastern Visayas,13,0,"784,027","316,783",0,"1,100,810"
2014,2015,Public,0,Region IX - Zamboanga Peninsula,9,0,"654,784","221,941",0,"876,725"
