ay_start,ay_end,sector,sector_encoded,region,region_encoded,shs_available,total_elementary,total_hs,total_shs,total_students,prev_total_elementary,prev_total_hs,prev_total_shs,prev_total_students
2010,2011,Private,1,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,17335,28540,0,45875,,,,
2011,2012,Private,1,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,17882,31255,0,49137,17335.0,28540.0,0.0,45875.0
2012,2013,Private,1,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,26195,34665,0,60860,17882.0,31255.0,0.0,49137.0
2013,2014,Private,1,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,25306,27504,0,52810,26195.0,34665.0,0.0,60860.0
2014,2015,Private,1,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,23438,27504,0,50942,25306.0,27504.0,0.0,52810.0
2015,2016,Private,1,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,15432,21673,0,37105,23438.0,27504.0,0.0,50942.0
2016,2017,Private,1,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,1,21675,29492,7037,58204,15432.0,21673.0,0.0,37105.0
2017,2018,Private,1,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,1,20420,25178,11197,56795,21675.0,29492.0,7037.0,58204.0
2018,2019,Private,1,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,1,31732,30968,15740,78440,20420.0,25178.0,11197.0,56795.0
2019,2020,Private,1,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,1,37164,34623,18363,90150,31732.0,30968.0,15740.0,78440.0
2020,2021,Private,1,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,1,31626,33411,19892,84929,37164.0,34623.0,18363.0,90150.0
2010,2011,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,766468,177415,0,943883,,,,
2011,2012,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,770996,174482,0,945478,766468.0,177415.0,0.0,943883.0
2012,2013,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,716128,160101,0,876229,770996.0,174482.0,0.0,945478.0
2013,2014,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,695979,162266,0,858245,716128.0,160101.0,0.0,876229.0
2014,2015,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,635879,148084,0,783963,695979.0,162266.0,0.0,858245.0
2015,2016,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,594164,138821,0,732985,635879.0,148084.0,0.0,783963.0
2016,2017,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,1,603455,138261,14307,756023,594164.0,138821.0,0.0,732985.0
2017,2018,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,1,582260,135163,26400,743823,603455.0,138261.0,14307.0,756023.0
2018,2019,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,1,585548,144234,28422,758204,582260.0,135163.0,26400.0,743823.0
2019,2020,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,1,582686,154760,33911,771357,585548.0,144234.0,28422.0,758204.0
2020,2021,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,1,562110,153509,39268,754887,582686.0,154760.0,33911.0,771357.0
2010,2011,SUC-LUC,2,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,1521,2185,0,3706,,,,
2011,2012,SUC-LUC,2,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,2641,12652,0,15293,1521.0,2185.0,0.0,3706.0
2012,2013,SUC-LUC,2,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,2549,12814,0,15363,2641.0,12652.0,0.0,15293.0
2013,2014,SUC-LUC,2,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,1758,7343,0,9101,2549.0,12814.0,0.0,15363.0
2014,2015,SUC-LUC,2,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,1164,3267,0,4431,1758.0,7343.0,0.0,9101.0
2015,2016,SUC-LUC,2,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,2271,16786,0,19057,1164.0,3267.0,0.0,4431.0
2016,2017,SUC-LUC,2,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,1,1724,15546,2257,19527,2271.0,16786.0,0.0,19057.0
2017,2018,SUC-LUC,2,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,1,1724,15214,3197,20135,1724.0,15546.0,2257.0,19527.0
2018,2019,SUC-LUC,2,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,1,1830,20155,4178,26163,1724.0,15214.0,3197.0,20135.0
2019,2020,SUC-LUC,2,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,1,1923,21570,5681,29174,1830.0,20155.0,4178.0,26163.0
2020,2021,SUC-LUC,2,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,1,2097,21428,6754,30279,1923.0,21570.0,5681.0,29174.0
2010,2011,Private,1,CAR - Cordillera Administrative Region,1,0,29586,33539,0,63125,,,,
2011,2012,Private,1,CAR - Cordillera Administrative Region,1,0,33842,34295,0,68137,29586.0,33539.0,0.0,63125.0
2012,2013,Private,1,CAR - Cordillera Administrative Region,1,0,34808,35297,0,70105,33842.0,34295.0,0.0,68137.0
2013,2014,Private,1,CAR - Cordillera Administrative Region,1,0,31835,34766,0,66601,34808.0,35297.0,0.0,70105.0
2014,2015,Private,1,CAR - Cordillera Administrative Region,1,0,30846,34766,0,65612,31835.0,34766.0,0.0,66601.0
2015,2016,Private,1,CAR - Cordillera Administrative Region,1,0,28978,34454,0,63432,30846.0,34766.0,0.0,65612.0
2016,2017,Private,1,CAR - Cordillera Administrative Region,1,1,26685,34239,13267,74191,28978.0,34454.0,0.0,63432.0
2017,2018,Private,1,CAR - Cordillera Administrative Region,1,1,26330,34152,26399,86881,26685.0,34239.0,13267.0,74191.0
2018,2019,Private,1,CAR - Cordillera Administrative Region,1,1,27253,34688,27565,89506,26330.0,34152.0,26399.0,86881.0
2019,2020,Private,1,CAR - Cordillera Administrative Region,1,1,26431,34699,27703,88833,27253.0,34688.0,27565.0,89506.0
2020,2021,Private,1,CAR - Cordillera Administrative Region,1,1,18466,32593,24658,75717,26431.0,34699.0,27703.0,88833.0
2010,2011,Public,0,CAR - Cordillera Administrative Region,1,0,236816,86817,0,323633,,,,
2011,2012,Public,0,CAR - Cordillera Administrative Region,1,0,247740,86468,0,334208,236816.0,86817.0,0.0,323633.0
2012,2013,Public,0,CAR - Cordillera Administrative Region,1,0,246875,87433,0,334308,247740.0,86468.0,0.0,334208.0
2013,2014,Public,0,CAR - Cordillera Administrative Region,1,0,248074,90310,0,338384,246875.0,87433.0,0.0,334308.0
2014,2015,Public,0,CAR - Cordillera Administrative Region,1,0,244693,92381,0,337074,248074.0,90310.0,0.0,338384.0
2015,2016,Public,0,CAR - Cordillera Administrative Region,1,0,239868,93953,0,333821,244693.0,92381.0,0.0,337074.0
2016,2017,Public,0,CAR - Cordillera Administrative Region,1,1,231438,95712,10811,337961,239868.0,93953.0,0.0,333821.0
2017,2018,Public,0,CAR - Cordillera Administrative Region,1,1,226127,97487,20423,344037,231438.0,95712.0,10811.0,337961.0
2018,2019,Public,0,CAR - Cordillera Administrative Region,1,1,223420,102295,24149,349864,226127.0,97487.0,20423.0,344037.0
2019,2020,Public,0,CAR - Cordillera Administrative Region,1,1,215533,103167,26664,345364,223420.0,102295.0,24149.0,349864.0
2020,2021,Public,0,CAR - Cordillera Administrative Region,1,1,218767,104490,32652,355909,215533.0,103167.0,26664.0,345364.0
2010,2011,SUC-LUC,2,CAR - Cordillera Administrative Region,1,0,628,2732,0,3360,,,,
2011,2012,SUC-LUC,2,CAR - Cordillera Administrative Region,1,0,944,3761,0,4705,628.0,2732.0,0.0,3360.0
2012,2013,SUC-LUC,2,CAR - Cordillera Administrative Region,1,0,600,3761,0,4361,944.0,3761.0,0.0,4705.0
2013,2014,SUC-LUC,2,CAR - Cordillera Administrative Region,1,0,939,1931,0,2870,600.0,3761.0,0.0,4361.0
2014,2015,SUC-LUC,2,CAR - Cordillera Administrative Region,1,0,567,1525,0,2092,939.0,1931.0,0.0,2870.0
2015,2016,SUC-LUC,2,CAR - Cordillera Administrative Region,1,0,618,1709,0,2327,567.0,1525.0,0.0,2092.0
2016,2017,SUC-LUC,2,CAR - Cordillera Administrative Region,1,1,674,1798,1196,3668,618.0,1709.0,0.0,2327.0
2017,2018,SUC-LUC,2,CAR - Cordillera Administrative Region,1,1,674,1405,2365,4444,674.0,1798.0,1196.0,3668.0
2018,2019,SUC-LUC,2,CAR - Cordillera Administrative Region,1,1,635,1805,2887,5327,674.0,1405.0,2365.0,4444.0
2019,2020,SUC-LUC,2,CAR - Cordillera Administrative Region,1,1,643,1641,2687,4971,635.0,1805.0,2887.0,5327.0
2020,2021,SUC-LUC,2,CAR - Cordillera Administrative Region,1,1,597,1500,2211,4308,643.0,1641.0,2687.0,4971.0
2010,2011,Private,1,CARAGA - CARAGA,2,0,16425,24826,0,41251,,,,
2011,2012,Private,1,CARAGA - CARAGA,2,0,16977,25005,0,41982,16425.0,24826.0,0.0,41251.0
2012,2013,Private,1,CARAGA - CARAGA,2,0,19041,25410,0,44451,16977.0,25005.0,0.0,41982.0
2013,2014,Private,1,CARAGA - CARAGA,2,0,19841,24915,0,44756,19041.0,25410.0,0.0,44451.0
2014,2015,Private,1,CARAGA - CARAGA,2,0,20333,24915,0,45248,19841.0,24915.0,0.0,44756.0
2015,2016,Private,1,CARAGA - CARAGA,2,0,18973,25172,0,44145,20333.0,24915.0,0.0,45248.0
2016,2017,Private,1,CARAGA - CARAGA,2,1,17072,25295,12859,55226,18973.0,25172.0,0.0,44145.0
2017,2018,Private,1,CARAGA - CARAGA,2,1,17666,26664,23127,67457,17072.0,25295.0,12859.0,55226.0
2018,2019,Private,1,CARAGA - CARAGA,2,1,19607,28071,23257,70935,17666.0,26664.0,23127.0,67457.0
2019,2020,Private,1,CARAGA - CARAGA,2,1,19613,29025,23122,71760,19607.0,28071.0,23257.0,70935.0
2020,2021,Private,1,CARAGA - CARAGA,2,1,13738,27281,20999,62018,19613.0,29025.0,23122.0,71760.0
2010,2011,Public,0,CARAGA - CARAGA,2,0,443507,157126,0,600633,,,,
2011,2012,Public,0,CARAGA - CARAGA,2,0,455911,158265,0,614176,443507.0,157126.0,0.0,600633.0
2012,2013,Public,0,CARAGA - CARAGA,2,0,456582,159750,0,616332,455911.0,158265.0,0.0,614176.0
2013,2014,Public,0,CARAGA - CARAGA,2,0,460945,165143,0,626088,456582.0,159750.0,0.0,616332.0
2014,2015,Public,0,CARAGA - CARAGA,2,0,463821,173478,0,637299,460945.0,165143.0,0.0,626088.0
2015,2016,Public,0,CARAGA - CARAGA,2,0,461460,178122,0,639582,463821.0,173478.0,0.0,637299.0
2016,2017,Public,0,CARAGA - CARAGA,2,1,447517,185696,23074,656287,461460.0,178122.0,0.0,639582.0
2017,2018,Public,0,CARAGA - CARAGA,2,1,439641,196235,46806,682682,447517.0,185696.0,23074.0,656287.0
2018,2019,Public,0,CARAGA - CARAGA,2,1,435975,208197,56735,700907,439641.0,196235.0,46806.0,682682.0
2019,2020,Public,0,CARAGA - CARAGA,2,1,427151,212274,62881,702306,435975.0,208197.0,56735.0,700907.0
2020,2021,Public,0,CARAGA - CARAGA,2,1,426462,217964,72409,716835,427151.0,212274.0,62881.0,702306.0
2010,2011,SUC-LUC,2,CARAGA - CARAGA,2,0,179,2027,0,2206,,,,
2011,2012,SUC-LUC,2,CARAGA - CARAGA,2,0,77,1930,0,2007,179.0,2027.0,0.0,2206.0
2012,2013,SUC-LUC,2,CARAGA - CARAGA,2,0,0,2432,0,2432,77.0,1930.0,0.0,2007.0
2013,2014,SUC-LUC,2,CARAGA - CARAGA,2,0,189,1434,0,1623,0.0,2432.0,0.0,2432.0
2014,2015,SUC-LUC,2,CARAGA - CARAGA,2,0,230,914,0,1144,189.0,1434.0,0.0,1623.0
2015,2016,SUC-LUC,2,CARAGA - CARAGA,2,0,213,223,0,436,230.0,914.0,0.0,1144.0
2016,2017,SUC-LUC,2,CARAGA - CARAGA,2,1,213,652,1090,1955,213.0,223.0,0.0,436.0
2017,2018,SUC-LUC,2,CARAGA - CARAGA,2,1,213,596,1540,2349,213.0,652.0,1090.0,1955.0
2018,2019,SUC-LUC,2,CARAGA - CARAGA,2,1,239,478,794,1511,213.0,596.0,1540.0,2349.0
2019,2020,SUC-LUC,2,CARAGA - CARAGA,2,1,237,405,528,1170,239.0,478.0,794.0,1511.0
2020,2021,SUC-LUC,2,CARAGA - CARAGA,2,1,226,403,519,1148,237.0,405.0,528.0,1170.0
2010,2011,Private,1,NCR - National Capital Region,3,0,387921,217577,0,605498,,,,
2011,2012,Private,1,NCR - National Capital Region,3,0,393738,231663,0,625401,387921.0,217577.0,0.0,605498.0
2012,2013,Private,1,NCR - National Capital Region,3,0,382197,228248,0,610445,393738.0,231663.0,0.0,625401.0
2013,2014,Private,1,NCR - National Capital Region,3,0,350442,208548,0,558990,382197.0,228248.0,0.0,610445.0
2014,2015,Private,1,NCR - National Capital Region,3,0,343463,208548,0,552011,350442.0,208548.0,0.0,558990.0
2015,2016,Private,1,NCR - National Capital Region,3,0,356642,218369,0,575011,343463.0,208548.0,0.0,552011.0
2016,2017,Private,1,NCR - National Capital Region,3,1,309145,191765,152699,653609,356642.0,218369.0,0.0,575011.0
2017,2018,Private,1,NCR - National Capital Region,3,1,326106,200243,276470,802819,309145.0,191765.0,152699.0,653609.0
2018,2019,Private,1,NCR - National Capital Region,3,1,347060,209331,298267,854658,326106.0,200243.0,276470.0,802819.0
2019,2020,Private,1,NCR - National Capital Region,3,1,335119,209735,296385,841239,347060.0,209331.0,298267.0,854658.0
2020,2021,Private,1,NCR - National Capital Region,3,1,207578,166822,244756,619156,335119.0,209735.0,296385.0,841239.0
2010,2011,Public,0,NCR - National Capital Region,3,0,1301504,672462,0,1973966,,,,
2011,2012,Public,0,NCR - National Capital Region,3,0,1360030,674237,0,2034267,1301504.0,672462.0,0.0,1973966.0
2012,2013,Public,0,NCR - National Capital Region,3,0,1371867,680656,0,2052523,1360030.0,674237.0,0.0,2034267.0
2013,2014,Public,0,NCR - National Capital Region,3,0,1390356,690113,0,2080469,1371867.0,680656.0,0.0,2052523.0
2014,2015,Public,0,NCR - National Capital Region,3,0,1366443,685318,0,2051761,1390356.0,690113.0,0.0,2080469.0
2015,2016,Public,0,NCR - National Capital Region,3,0,1334721,671545,0,2006266,1366443.0,685318.0,0.0,2051761.0
2016,2017,Public,0,NCR - National Capital Region,3,1,1305754,673924,34263,2013941,1334721.0,671545.0,0.0,2006266.0
2017,2018,Public,0,NCR - National Capital Region,3,1,1279788,678787,69795,2028370,1305754.0,673924.0,34263.0,2013941.0
2018,2019,Public,0,NCR - National Capital Region,3,1,1270337,697840,85833,2054010,1279788.0,678787.0,69795.0,2028370.0
2019,2020,Public,0,NCR - National Capital Region,3,1,1243679,704215,96227,2044121,1270337.0,697840.0,85833.0,2054010.0
2020,2021,Public,0,NCR - National Capital Region,3,1,1223147,689595,112399,2025141,1243679.0,704215.0,96227.0,2044121.0
2010,2011,SUC-LUC,2,NCR - National Capital Region,3,0,1808,2547,0,4355,,,,
2011,2012,SUC-LUC,2,NCR - National Capital Region,3,0,975,1766,0,2741,1808.0,2547.0,0.0,4355.0
2012,2013,SUC-LUC,2,NCR - National Capital Region,3,0,969,1897,0,2866,975.0,1766.0,0.0,2741.0
2013,2014,SUC-LUC,2,NCR - National Capital Region,3,0,929,1889,0,2818,969.0,1897.0,0.0,2866.0
2014,2015,SUC-LUC,2,NCR - National Capital Region,3,0,901,1883,0,2784,929.0,1889.0,0.0,2818.0
2015,2016,SUC-LUC,2,NCR - National Capital Region,3,0,263,1407,0,1670,901.0,1883.0,0.0,2784.0
2016,2017,SUC-LUC,2,NCR - National Capital Region,3,1,932,1263,14515,16710,263.0,1407.0,0.0,1670.0
2017,2018,SUC-LUC,2,NCR - National Capital Region,3,1,932,1790,22583,25305,932.0,1263.0,14515.0,16710.0
2018,2019,SUC-LUC,2,NCR - National Capital Region,3,1,916,1768,22799,25483,932.0,1790.0,22583.0,25305.0
2019,2020,SUC-LUC,2,NCR - National Capital Region,3,1,230,1169,18659,20058,916.0,1768.0,22799.0,25483.0
2020,2021,SUC-LUC,2,NCR - National Capital Region,3,1,501,1188,14607,16296,230.0,1169.0,18659.0,20058.0
2010,2011,Private,1,Region I - Ilocos Region,4,0,66836,70864,0,137700,,,,
2011,2012,Private,1,Region I - Ilocos Region,4,0,66182,70653,0,136835,66836.0,70864.0,0.0,137700.0
2012,2013,Private,1,Region I - Ilocos Region,4,0,64526,70883,0,135409,66182.0,70653.0,0.0,136835.0
2013,2014,Private,1,Region I - Ilocos Region,4,0,63713,69532,0,133245,64526.0,70883.0,0.0,135409.0
2014,2015,Private,1,Region I - Ilocos Region,4,0,64057,69532,0,133589,63713.0,69532.0,0.0,133245.0
