feature,coefficient
shs_available,30171.073443597958
region_Region IV-A - CALABARZON,12169.329970594114
region_BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,-10606.70682840673
region_NCR - National Capital Region,-4999.5540599173655
ay_start,-4954.106630511791
sector_Private,3329.5152148115512
region_Region XI - Davao Region,3117.484857251675
sector_Public,-3066.8891786589757
region_Region VIII - Eastern Visayas,-2636.5840761784502
region_Region XII - Soccsksargen,2531.643889811873
region_Region I - Ilocos Region,-2436.2799221575133
region_Region V - Bicol Region,-1924.2081547020318
region_Region X - Northern Mindanao,1823.2602937285887
region_Region VII - Central Visayas,1586.9425983332408
region_Region III - Central Luzon,1538.7850389142257
region_CAR - Cordillera Administrative Region,-1007.8970400063221
region_Region II - Cagayan Valley,926.4049559039948
region_Region IX - Zamboanga Peninsula,-704.7813506647095
region_Region VI - Western Visayas,575.7801303349357
region_CARAGA - CARAGA,325.5803496303426
region_Region IV-B - MIMAROPA,-279.20065248081255
sector_SUC-LUC,-262.6260362522862
prev_total_students,0.8419212097309626
prev_total_shs,0.37002029784724816
prev_total_hs,0.1806785148886819
prev_total_elementary,0.17142368393561397
