region,sector,ay_start,naive_predicted,ridge_predicted,gbt_predicted
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Private,2021,84929,65378,77031
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Public,2021,754887,738387,739584
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,SUC-LUC,2021,30279,10319,27880
CAR - Cordillera Administrative Region,Private,2021,75717,62343,70913
CAR - Cordillera Administrative Region,Public,2021,355909,343946,334225
CAR - Cordillera Administrative Region,SUC-LUC,2021,4308,0,2743
CARAGA - CARAGA,Private,2021,62018,50769,58622
CARAGA - CARAGA,Public,2021,716835,707221,722345
CARAGA - CARAGA,SUC-LUC,2021,1148,0,1133
NCR - National Capital Region,Private,2021,619156,571410,516638
NCR - National Capital Region,Public,2021,2025141,2027659,2026622
NCR - National Capital Region,SUC-LUC,2021,16296,0,14852
Region I - Ilocos Region,Private,2021,138645,124024,126170
Region I - Ilocos Region,Public,2021,1139566,1126618,1148343
Region I - Ilocos Region,SUC-LUC,2021,6243,0,4323
Region II - Cagayan Valley,Private,2021,94774,84410,95005
Region II - Cagayan Valley,Public,2021,817888,808796,800885
Region II - Cagayan Valley,SUC-LUC,2021,660,0,828
Region III - Central Luzon,Private,2021,424553,399744,363415
Region III - Central Luzon,Public,2021,2393006,2395706,2494934
Region III - Central Luzon,SUC-LUC,2021,9270,0,5124
Region IV-A - CALABARZON,Private,2021,649577,623678,651196
Region IV-A - CALABARZON,Public,2021,2991907,3013554,2977723
Region IV-A - CALABARZON,SUC-LUC,2021,11506,7828,7563
Region IV-B - MIMAROPA,Private,2021,65937,54244,62269
Region IV-B - MIMAROPA,Public,2021,811249,801019,800286
Region IV-B - MIMAROPA,SUC-LUC,2021,5577,0,3467
Region IX - Zamboanga Peninsula,Private,2021,76332,62854,71863
Region IX - Zamboanga Peninsula,Public,2021,947314,940108,937171
Region IX - Zamboanga Peninsula,SUC-LUC,2021,4255,0,2953
Region V - Bicol Region,Private,2021,139364,121090,126651
Region V - Bicol Region,Public,2021,1522467,1509905,1459552
Region V - Bicol Region,SUC-LUC,2021,3422,0,576
Region VI - Western Visayas,Private,2021,193063,179942,172802
Region VI - Western Visayas,Public,2021,1846904,1841549,1853787
Region VI - Western Visayas,SUC-LUC,2021,3953,0,2743
Region VII - Central Visayas,Private,2021,252931,235113,249522
Region VII - Central Visayas,Public,2021,1752746,1748011,1755628
Region VII - Central Visayas,SUC-LUC,2021,1464,0,828
Region VIII - Eastern Visayas,Private,2021,73114,59558,70913
